....................
KOD,SIMPLE_NAM
010619,ПРОЧИЕ ЖИВЫЕ ЖИВОТНЫЕ: ПРОЧИЕ МЛЕКОПИТАЮЩИЕ
01061900,ПРОЧИЕ ЖИВЫЕ ЖИВОТНЫЕ: ПРОЧИЕ МЛЕКОПИТАЮЩИЕ
0106190010,"ЖИВЫЕ ЖИВОТНЫЕ, МЛЕКОПИТАЮЩИЕ ПРОЧИЕ"
0106190091,"ЖИВЫЕ ЖИВОТНЫЕ ПРОЧИЕ, МЛЕКОПИТАЮЩИЕ, ЛИСИЦЫ"
0106190092,"ЖИВЫЕ ЖИВОТНЫЕ, МЛЕКОПИТАЮЩИЕ ПРОЧИЕ, ПЕСЦЫ"
0106190093,"ЖИВЫЕ ЖИВОТНЫЕ, МЛЕКОПИТАЮЩИЕ ПРОЧИЕ, СОБОЛИ"
0106190094,"ЖИВЫЕ ЖИВОТНЫЕ, МЛЕКОПИТАЮЩИЕ ПРОЧИЕ, НОРКИ"
0106190099,"ЖИВЫЕ ЖИВОТНЫЕ ПРОЧИЕ, МЛЕКОПИТАЮЩИЕ ПРОЧИЕ"
010620,ПРОЧИЕ ЖИВЫЕ ЖИВОТНЫЕ: РЕПТИЛИИ (ВКЛЮЧАЯ ЗМЕЙ И ЧЕРЕПАХ)
01062000,ПРОЧИЕ ЖИВЫЕ ЖИВОТНЫЕ: РЕПТИЛИИ (ВКЛЮЧАЯ ЗМЕЙ И ЧЕРЕПАХ)
0106200010,РЕПТИЛИИ (ВКЛЮЧАЯ ЗМЕЙ И ЧЕРЕПАХ) ДЛЯ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИХ ЦЕЛЕЙ
0106200090,ПРОЧИЕ РЕПТИЛИИ (ВКЛЮЧАЯ ЗМЕЙ И ЧЕРЕПАХ)
010631,ПРОЧИЕ ЖИВЫЕ ЖИВОТНЫЕ: ХИЩНЫЕ ПТИЦЫ
01063100,ПРОЧИЕ ЖИВЫЕ ЖИВОТНЫЕ: ХИЩНЫЕ ПТИЦЫ
0106310010,ХИЩНЫЕ ПТИЦЫ ДЛЯ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИХ ЦЕЛЕЙ
0106310090,ПРОЧИЕ ХИЩНЫЕ ПТИЦЫ
010632,"ПРОЧИЕ ЖИВЫЕ ЖИВОТНЫЕ: ПТИЦЫ ПОПУГАЕОБРАЗНЫЕ (ВКЛЮЧАЯ ПОПУГАЕВ, ДЛИННОХВОСТЫХ ПОПУГАЕВ, АРА И КАКАДУ)"
01063200,"ПРОЧИЕ ЖИВЫЕ ЖИВОТНЫЕ: ПТИЦЫ ПОПУГАЕОБРАЗНЫЕ (ВКЛЮЧАЯ ПОПУГАЕВ, ДЛИННОХВОСТЫХ ПОПУГАЕВ, АРА И КАКАДУ)"
0106320010,"ПОПУГАЕОБРАЗНЫЕ (ВКЛЮЧАЯ ПОПУГАЕВ, ДЛИННОХВОСТЫХ ПОПУГАЕВ АРА И КАКАДУ) ДЛЯ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИХ ЦЕЛЕЙ"
